	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	ln_public_kvu	arc_wtp	ln_public_kvu	arc_wtp	ln_public_kvu	arc_wtp	ln_public_kvu	arc_wtp	ln_public_kvu	arc_wtp
										
_Iu_25_2_2	0.263		0.272		0.276		0.111		0.111	
	(0.178)		(0.175)		(0.174)		(0.0990)		(0.0990)	
_Iu_25_2_3	0.598***		0.604***		0.593***		0.104		0.104	
	(0.173)		(0.173)		(0.166)		(0.0875)		(0.0875)	
_Iu_25_2_4	0.718***		0.703***		0.688***		0.154		0.154	
	(0.268)		(0.255)		(0.242)		(0.103)		(0.103)	
_Iu_25_2_5	0.596***		0.595***		0.611***		-0.0291		-0.0291	
	(0.198)		(0.196)		(0.189)		(0.120)		(0.120)	
_Iu_25_2_6	2.672***		2.633***		2.555***		0.0658		0.0658	
	(0.567)		(0.562)		(0.547)		(0.127)		(0.127)	
_Iu_25_2_7	0.890***		0.883***		0.857***		-0.0537		-0.0537	
	(0.234)		(0.228)		(0.227)		(0.101)		(0.101)	
_Iu_25_2_8	0.670***		0.655***		0.649***		0.181**		0.181**	
	(0.188)		(0.188)		(0.183)		(0.0907)		(0.0907)	
_Iu_25_2_9	1.301***		1.269***		1.236***		0.122		0.122	
	(0.345)		(0.347)		(0.346)		(0.105)		(0.105)	
_Iu_25_2_10	2.680***		2.651***		2.573***		0.423***		0.423***	
	(0.135)		(0.135)		(0.133)		(0.125)		(0.125)	
own_visits			0.0310***	0.177***	0.0276***	0.179***	0.00342	0.185***	0.00342	0.184***
			(0.00972)	(0.0253)	(0.00907)	(0.0234)	(0.00242)	(0.0223)	(0.00242)	(0.0224)
ln_inc			0.00444	0.0518	0.00395	-0.0324	0.00284	-0.0360	0.00284	-0.0361
			(0.00674)	(0.0446)	(0.00636)	(0.0317)	(0.00318)	(0.0301)	(0.00318)	(0.0301)
spend			-2.70e-05**	0.000218***	-2.54e-05*	0.000115	-2.86e-06	7.28e-05	-2.86e-06	7.28e-05
			(1.30e-05)	(7.32e-05)	(1.39e-05)	(7.63e-05)	(5.19e-06)	(7.40e-05)	(5.19e-06)	(7.40e-05)
educ					0.0306***	0.209***	0.000191	0.204***	0.000191	0.204***
					(0.00906)	(0.0296)	(0.00211)	(0.0293)	(0.00211)	(0.0293)
g					-0.0962**	-0.00108	-0.0201	-0.00681	-0.0201	-0.00647
					(0.0466)	(0.177)	(0.0124)	(0.181)	(0.0124)	(0.181)
alder					-0.00233	0.0180***	0.000697*	0.0151***	0.000697*	0.0151***
					(0.00187)	(0.00541)	(0.000386)	(0.00499)	(0.000386)	(0.00499)
woman_2					-0.0190	0.396***	-0.0144	0.375**	-0.0144	0.376**
					(0.0354)	(0.145)	(0.0126)	(0.149)	(0.0126)	(0.149)
hjemmebo					-0.135**	-0.0808	0.0249*	-0.151	0.0249*	-0.151
					(0.0615)	(0.167)	(0.0150)	(0.173)	(0.0150)	(0.173)
indvandre					0.00527	-0.501*	-0.0253	-0.607**	-0.0253	-0.607**
					(0.0966)	(0.294)	(0.0233)	(0.296)	(0.0233)	(0.296)
ln_pop							1.081***	-0.675	1.081***	-0.692
							(0.0457)	(0.770)	(0.0457)	(0.810)
d_teater							-0.0591	0.557**	-0.0591	0.558**
							(0.0763)	(0.278)	(0.0763)	(0.278)
d_study							0.0608	0.227	0.0608	0.227
							(0.0705)	(0.218)	(0.0705)	(0.219)
_Ireg_20190_82							-0.0690	0.799***	-0.0690	0.799***
							(0.0808)	(0.204)	(0.0808)	(0.204)
_Ireg_20190_83							0.119	0.499***	0.119	0.498***
							(0.0859)	(0.188)	(0.0859)	(0.188)
_Ireg_20190_84							0.335***	1.138***	0.335***	1.133***
							(0.0823)	(0.261)	(0.0823)	(0.268)
_Ireg_20190_85							0.139*	0.704***	0.139*	0.702***
							(0.0754)	(0.223)	(0.0754)	(0.225)
ln_sub							-0.00392	-0.0103	-0.00392	-0.0103
							(0.00466)	(0.0135)	(0.00466)	(0.0135)
ln_public_kvu		0.485***		0.367***		0.333***		0.637		0.652
		(0.0926)		(0.0883)		(0.0894)		(0.686)		(0.722)
Constant	8.628***	-0.734	8.539***	-0.776	8.402***	-3.133***	-2.850***	0.680	-2.850***	0.726
	(0.135)	(0.908)	(0.163)	(1.021)	(0.192)	(1.018)	(0.470)	(2.606)	(0.470)	(2.708)
										
Observations	1,231	1,231	1,231	1,231	1,231	1,231	1,222	1,222	1,222	1,222
R-squared		0.020		0.101		0.155		0.169		0.169
F-test		201.5		191.9		139.7		6.326		6.326
Robust standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
