	(1)	(2)	(3)	(4)
VARIABLES	ln_public_kvu	arc_wtp	ln_public_kvu	arc_wtp
				
1b.u_25_2#81b.reg_201903			0	
			(0)	
1b.u_25_2#82.reg_201903			-0.285	
			(0.244)	
1b.u_25_2#83.reg_201903			0.125	
			(0.200)	
1b.u_25_2#84.reg_201903			-0.0252	
			(0.129)	
1b.u_25_2#85.reg_201903			-0.0285	
			(0.0905)	
2.u_25_2#81b.reg_201903			0.0424	
			(0.177)	
2.u_25_2#82.reg_201903			-0.351*	
			(0.213)	
2.u_25_2#83.reg_201903			-0.156*	
			(0.0811)	
2.u_25_2#84.reg_201903			-0.0528	
			(0.103)	
2o.u_25_2#85o.reg_201903			0	
			(0)	
3.u_25_2#81b.reg_201903			0.0690	
			(0.0657)	
3o.u_25_2#82o.reg_201903			0	
			(0)	
3.u_25_2#83.reg_201903			-0.330***	
			(0.113)	
3.u_25_2#84.reg_201903			0.326**	
			(0.134)	
3.u_25_2#85.reg_201903			0.211**	
			(0.0896)	
4.u_25_2#81b.reg_201903			0.144	
			(0.0906)	
4.u_25_2#82.reg_201903			-0.331***	
			(0.0740)	
4.u_25_2#83.reg_201903			-0.311	
			(0.232)	
4.u_25_2#84.reg_201903			0.393***	
			(0.151)	
4.u_25_2#85.reg_201903			0.0739	
			(0.151)	
5o.u_25_2#81b.reg_201903			0	
			(0)	
5.u_25_2#82.reg_201903			-0.409***	
			(0.114)	
5.u_25_2#83.reg_201903			-0.605***	
			(0.0705)	
5.u_25_2#84.reg_201903			0.0556	
			(0.116)	
5.u_25_2#85.reg_201903			0.259**	
			(0.106)	
6.u_25_2#81b.reg_201903			0.327***	
			(0.104)	
6.u_25_2#82.reg_201903			-0.170***	
			(0.0600)	
6.u_25_2#83.reg_201903			0.0445	
			(0.0536)	
6.u_25_2#84.reg_201903			0.0578	
			(0.120)	
6o.u_25_2#85o.reg_201903			0	
			(0)	
7.u_25_2#81b.reg_201903			-0.347***	
			(0.0852)	
7.u_25_2#82.reg_201903			-0.553***	
			(0.0681)	
7.u_25_2#83.reg_201903			-0.291***	
			(0.0797)	
7.u_25_2#84.reg_201903			-0.148	
			(0.101)	
7.u_25_2#85.reg_201903			0.0113	
			(0.108)	
8o.u_25_2#81b.reg_201903			0	
			(0)	
8.u_25_2#82.reg_201903			-0.326*	
			(0.185)	
8o.u_25_2#83o.reg_201903			0	
			(0)	
8.u_25_2#84.reg_201903			0.294**	
			(0.131)	
8.u_25_2#85.reg_201903			0.249***	
			(0.0719)	
9.u_25_2#81b.reg_201903			0.0345	
			(0.0588)	
9.u_25_2#82.reg_201903			-0.126**	
			(0.0552)	
9o.u_25_2#83o.reg_201903			0	
			(0)	
9o.u_25_2#84o.reg_201903			0	
			(0)	
9o.u_25_2#85o.reg_201903			0	
			(0)	
10.u_25_2#81b.reg_201903			0.311***	
			(0.0798)	
10o.u_25_2#82o.reg_201903			0	
			(0)	
10o.u_25_2#83o.reg_201903			0	
			(0)	
10o.u_25_2#84o.reg_201903			0	
			(0)	
10o.u_25_2#85o.reg_201903			0	
			(0)	
own_visits	0.00342	0.185***	0.00130	0.186***
	(0.00242)	(0.0223)	(0.00169)	(0.0220)
ln_inc	0.00284	-0.0360	0.00177	-0.0354
	(0.00318)	(0.0301)	(0.00217)	(0.0299)
spend	-2.86e-06	7.28e-05	-1.38e-06	7.22e-05
	(5.19e-06)	(7.40e-05)	(4.68e-06)	(7.40e-05)
educ	0.000191	0.204***	-0.00201	0.205***
	(0.00211)	(0.0293)	(0.00190)	(0.0289)
g	-0.0201	-0.00681	-0.00766	-0.0129
	(0.0124)	(0.181)	(0.00928)	(0.180)
alder	0.000697*	0.0151***	0.000387	0.0153***
	(0.000386)	(0.00499)	(0.000250)	(0.00501)
woman_2	-0.0144	0.375**	-0.0171*	0.372**
	(0.0126)	(0.149)	(0.00899)	(0.149)
hjemmebo	0.0249*	-0.151	0.0153	-0.144
	(0.0150)	(0.173)	(0.0110)	(0.171)
indvandre	-0.0253	-0.607**	-0.0176	-0.609**
	(0.0233)	(0.296)	(0.0174)	(0.295)
ln_pop	1.081***	-0.675	1.073***	-0.380
	(0.0457)	(0.770)	(0.0454)	(0.482)
d_teater	-0.0591	0.557**	-0.0390	0.537*
	(0.0763)	(0.278)	(0.0728)	(0.277)
d_study	0.0608	0.227	0.0722	0.233
	(0.0705)	(0.218)	(0.0803)	(0.217)
_Ireg_20190_82	-0.0690	0.799***	0.294***	0.800***
	(0.0808)	(0.204)	(0.0782)	(0.209)
_Ireg_20190_83	0.119	0.499***	0.392***	0.525***
	(0.0859)	(0.188)	(0.0566)	(0.198)
_Ireg_20190_84	0.335***	1.138***	0.267**	1.218***
	(0.0823)	(0.261)	(0.123)	(0.255)
_Ireg_20190_85	0.139*	0.704***	0.0472	0.737***
	(0.0754)	(0.223)	(0.0612)	(0.206)
ln_sub	-0.00392	-0.0103	-0.00118	-0.0111
	(0.00466)	(0.0135)	(0.00488)	(0.0130)
2.u_25_2	0.111			
	(0.0990)			
3.u_25_2	0.104			
	(0.0875)			
4.u_25_2	0.154			
	(0.103)			
5.u_25_2	-0.0291			
	(0.120)			
6.u_25_2	0.0658			
	(0.127)			
7.u_25_2	-0.0537			
	(0.101)			
8.u_25_2	0.181**			
	(0.0907)			
9.u_25_2	0.122			
	(0.105)			
10.u_25_2	0.423***			
	(0.125)			
ln_public_kvu		0.637		0.374
		(0.686)		(0.441)
Constant	-2.850***	0.680	-2.705***	-0.153
	(0.470)	(2.606)	(0.432)	(1.813)
				
Observations	1,222	1,222	1,222	1,222
R-squared		0.169		0.169
F-test		6.326		840.3
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
