	(1)	(2)	(3)	(4)
VARIABLES	ln_public_kvu	arc_wtp	ln_public_kvu	arc_wtp
				
1b.u_25_2#81b.reg_201903			0	
			(0)	
1b.u_25_2#82.reg_201903			-0.281	
			(0.257)	
1b.u_25_2#83.reg_201903			-0.0511	
			(0.0880)	
1b.u_25_2#84.reg_201903			0.0394	
			(0.121)	
1b.u_25_2#85.reg_201903			-0.263***	
			(0.0742)	
2.u_25_2#81b.reg_201903			0.0423	
			(0.186)	
2.u_25_2#82.reg_201903			-0.304	
			(0.217)	
2.u_25_2#83.reg_201903			-0.142*	
			(0.0859)	
2.u_25_2#84.reg_201903			-0.0222	
			(0.0953)	
2o.u_25_2#85o.reg_201903			0	
			(0)	
3.u_25_2#81b.reg_201903			0.0814	
			(0.0749)	
3o.u_25_2#82o.reg_201903			0	
			(0)	
3.u_25_2#83.reg_201903			-0.290**	
			(0.134)	
3.u_25_2#84.reg_201903			0.317**	
			(0.131)	
3.u_25_2#85.reg_201903			-0.0178	
			(0.0882)	
4.u_25_2#81b.reg_201903			0.0988	
			(0.105)	
4.u_25_2#82.reg_201903			-0.266***	
			(0.0997)	
4.u_25_2#83.reg_201903			-0.320	
			(0.267)	
4.u_25_2#84.reg_201903			0.399***	
			(0.135)	
4.u_25_2#85.reg_201903			-0.183	
			(0.128)	
5o.u_25_2#81b.reg_201903			0	
			(0)	
5.u_25_2#82.reg_201903			-0.366***	
			(0.121)	
5.u_25_2#83.reg_201903			-0.609***	
			(0.0472)	
5.u_25_2#84.reg_201903			0.0768	
			(0.111)	
5.u_25_2#85.reg_201903			0.0113	
			(0.0934)	
6o.u_25_2#81b.reg_201903			0	
			(0)	
6.u_25_2#82.reg_201903			-0.124*	
			(0.0672)	
6.u_25_2#83.reg_201903			0.0496	
			(0.0584)	
6.u_25_2#84.reg_201903			0.0322	
			(0.123)	
6o.u_25_2#85o.reg_201903			0	
			(0)	
7.u_25_2#81b.reg_201903			-0.390***	
			(0.0949)	
7.u_25_2#82.reg_201903			-0.502***	
			(0.0829)	
7.u_25_2#83.reg_201903			-0.225***	
			(0.0738)	
7.u_25_2#84.reg_201903			-0.132	
			(0.0959)	
7o.u_25_2#85o.reg_201903			0	
			(0)	
8o.u_25_2#81b.reg_201903			0	
			(0)	
8.u_25_2#82.reg_201903			-0.265	
			(0.199)	
8o.u_25_2#83o.reg_201903			0	
			(0)	
8.u_25_2#84.reg_201903			0.320**	
			(0.133)	
8o.u_25_2#85o.reg_201903			0	
			(0)	
9.u_25_2#81b.reg_201903			-0.0141	
			(0.0715)	
9.u_25_2#82.reg_201903			-0.104	
			(0.0639)	
9o.u_25_2#83o.reg_201903			0	
			(0)	
9o.u_25_2#84o.reg_201903			0	
			(0)	
9o.u_25_2#85o.reg_201903			0	
			(0)	
10.u_25_2#81b.reg_201903			0.236**	
			(0.0959)	
10o.u_25_2#82o.reg_201903			0	
			(0)	
10o.u_25_2#83o.reg_201903			0	
			(0)	
10o.u_25_2#84o.reg_201903			0	
			(0)	
10o.u_25_2#85o.reg_201903			0	
			(0)	
o.own_visits	-	-	-	-
				
ln_inc	0.00536	-0.0316	0.00373	-0.0348
	(0.00370)	(0.0361)	(0.00277)	(0.0360)
o.spend	-	-	-	-
				
educ	-0.000521	0.207***	-0.00282	0.206***
	(0.00271)	(0.0387)	(0.00253)	(0.0384)
g	-0.0262	-0.212	-0.0117	-0.199
	(0.0170)	(0.266)	(0.0130)	(0.267)
alder	0.000841	0.0154**	0.000332	0.0150**
	(0.000539)	(0.00708)	(0.000419)	(0.00708)
woman_2	-0.0261*	0.397**	-0.0229*	0.407**
	(0.0153)	(0.202)	(0.0131)	(0.200)
hjemmebo	0.0346	0.0925	0.0217	0.0759
	(0.0212)	(0.255)	(0.0158)	(0.254)
indvandre	-0.0127	-0.301	-0.00855	-0.302
	(0.0281)	(0.303)	(0.0199)	(0.303)
ln_pop	1.110***	1.216	1.106***	0.682
	(0.0488)	(1.039)	(0.0537)	(0.620)
d_teater	-0.0717	0.271	-0.0777	0.312
	(0.0812)	(0.334)	(0.0789)	(0.308)
d_study	0.0356	0.421	0.0453	0.424
	(0.0727)	(0.300)	(0.0849)	(0.298)
_Ireg_20190_82	-0.0635	0.666**	0.235**	0.682**
	(0.0861)	(0.282)	(0.0941)	(0.273)
_Ireg_20190_83	0.0982	0.726**	0.346***	0.690**
	(0.0894)	(0.297)	(0.0686)	(0.281)
_Ireg_20190_84	0.318***	1.704***	0.220*	1.578***
	(0.0855)	(0.360)	(0.116)	(0.325)
_Ireg_20190_85	0.131*	1.004***	0.278***	0.949***
	(0.0767)	(0.333)	(0.0537)	(0.311)
ln_sub	-0.00429	-0.00550	-0.000648	-0.00377
	(0.00494)	(0.0166)	(0.00515)	(0.0156)
2.u_25_2	0.0973			
	(0.101)			
3.u_25_2	0.110			
	(0.0849)			
4.u_25_2	0.104			
	(0.0991)			
5.u_25_2	-0.0497			
	(0.114)			
6.u_25_2	0.0341			
	(0.131)			
7.u_25_2	-0.0522			
	(0.114)			
8.u_25_2	0.168			
	(0.103)			
9.u_25_2	0.0923			
	(0.100)			
10.u_25_2	0.369***			
	(0.128)			
ln_public_kvu		-1.191		-0.725
		(0.902)		(0.532)
Constant	-3.144***	-3.594	-3.010***	-1.967
	(0.499)	(3.594)	(0.507)	(2.655)
				
Observations	668	668	668	668
R-squared		0.061		0.066
F-test		4.650		184.3
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
