	(1)	(2)	(3)	(4)
VARIABLES	ln_public_kvu	arc_wtp	ln_public_kvu	arc_wtp
				
1b.u_25_2#81b.reg_201903			0	
			(0)	
1b.u_25_2#82.reg_201903			-0.0530	
			(0.102)	
1b.u_25_2#83.reg_201903			0.240	
			(0.193)	
1b.u_25_2#84.reg_201903			-0.0866	
			(0.138)	
1b.u_25_2#85.reg_201903			-0.0390	
			(0.0983)	
2.u_25_2#81b.reg_201903			-0.00983	
			(0.182)	
2.u_25_2#82.reg_201903			-0.373*	
			(0.213)	
2.u_25_2#83.reg_201903			-0.175*	
			(0.0970)	
2.u_25_2#84.reg_201903			-0.0755	
			(0.113)	
2o.u_25_2#85o.reg_201903			0	
			(0)	
3.u_25_2#81b.reg_201903			0.0283	
			(0.0429)	
3o.u_25_2#82o.reg_201903			0	
			(0)	
3.u_25_2#83.reg_201903			-0.366***	
			(0.0938)	
3.u_25_2#84.reg_201903			0.334**	
			(0.137)	
3.u_25_2#85.reg_201903			0.155**	
			(0.0770)	
4.u_25_2#81b.reg_201903			0.201**	
			(0.0964)	
4.u_25_2#82.reg_201903			-0.389***	
			(0.0600)	
4.u_25_2#83.reg_201903			-0.249	
			(0.157)	
4.u_25_2#84.reg_201903			0.394**	
			(0.165)	
4.u_25_2#85.reg_201903			0.116	
			(0.164)	
5o.u_25_2#81b.reg_201903			0	
			(0)	
5.u_25_2#82.reg_201903			-0.471***	
			(0.114)	
5.u_25_2#83.reg_201903			-0.601***	
			(0.0972)	
5.u_25_2#84.reg_201903			0.0266	
			(0.126)	
5.u_25_2#85.reg_201903			0.264**	
			(0.120)	
6.u_25_2#81b.reg_201903			0.393***	
			(0.0977)	
6.u_25_2#82.reg_201903			-0.219***	
			(0.0602)	
6o.u_25_2#83o.reg_201903			0	
			(0)	
6.u_25_2#84.reg_201903			0.0938	
			(0.121)	
6o.u_25_2#85o.reg_201903			0	
			(0)	
7.u_25_2#81b.reg_201903			-0.300***	
			(0.0931)	
7.u_25_2#82.reg_201903			-0.617***	
			(0.0596)	
7.u_25_2#83.reg_201903			-0.362***	
			(0.0893)	
7.u_25_2#84.reg_201903			-0.160	
			(0.108)	
7.u_25_2#85.reg_201903			-0.00997	
			(0.122)	
8o.u_25_2#81b.reg_201903			0	
			(0)	
8.u_25_2#82.reg_201903			-0.403**	
			(0.168)	
8o.u_25_2#83o.reg_201903			0	
			(0)	
8.u_25_2#84.reg_201903			0.279**	
			(0.134)	
8.u_25_2#85.reg_201903			0.253***	
			(0.0753)	
9.u_25_2#81b.reg_201903			0.0773	
			(0.0524)	
9.u_25_2#82.reg_201903			-0.152***	
			(0.0568)	
9o.u_25_2#83o.reg_201903			0	
			(0)	
9o.u_25_2#84o.reg_201903			0	
			(0)	
9o.u_25_2#85o.reg_201903			0	
			(0)	
10o.u_25_2#81b.reg_201903			0	
			(0)	
10o.u_25_2#82o.reg_201903			0	
			(0)	
10o.u_25_2#83o.reg_201903			0	
			(0)	
10o.u_25_2#84o.reg_201903			0	
			(0)	
10o.u_25_2#85o.reg_201903			0	
			(0)	
own_visits	0.00126	0.129***	0.000734	0.132***
	(0.00253)	(0.0308)	(0.00197)	(0.0301)
ln_inc	-0.00268	-0.0108	-0.00102	-0.0197
	(0.00352)	(0.0503)	(0.00204)	(0.0484)
spend	-3.82e-06	1.53e-05	-2.54e-06	1.18e-05
	(5.60e-06)	(8.12e-05)	(4.92e-06)	(8.08e-05)
educ	-0.000607	0.164***	-0.00261	0.167***
	(0.00302)	(0.0409)	(0.00225)	(0.0404)
g	-0.0159	0.117	-0.00856	0.0934
	(0.0163)	(0.222)	(0.0140)	(0.222)
alder	0.000591	0.0209**	0.000398	0.0215***
	(0.000528)	(0.00817)	(0.000449)	(0.00799)
woman_2	-0.00839	0.262	-0.0121	0.253
	(0.0153)	(0.212)	(0.0121)	(0.212)
hjemmebo	0.0145	-0.298	0.0112	-0.279
	(0.0191)	(0.261)	(0.0137)	(0.256)
indvandre	-0.0393	-0.880	-0.0318	-0.902*
	(0.0389)	(0.542)	(0.0243)	(0.539)
ln_pop	1.051***	-2.383**	1.043***	-1.273*
	(0.0499)	(0.989)	(0.0418)	(0.683)
d_teater	-0.0511	0.839	0.0143	0.758
	(0.0783)	(0.556)	(0.0811)	(0.546)
d_study	0.0815	-0.135	0.0984	-0.0783
	(0.0734)	(0.354)	(0.0843)	(0.333)
_Ireg_20190_82	-0.0794	0.658**	0.348***	0.720***
	(0.0835)	(0.275)	(0.0718)	(0.270)
_Ireg_20190_83	0.155*	-0.0295	0.431***	0.103
	(0.0922)	(0.276)	(0.0507)	(0.268)
_Ireg_20190_84	0.351***	0.299	0.303**	0.659*
	(0.0854)	(0.374)	(0.133)	(0.336)
_Ireg_20190_85	0.164**	0.193	0.0557	0.339
	(0.0830)	(0.475)	(0.0702)	(0.437)
ln_sub	-0.00347	-0.0199	-0.00253	-0.0219
	(0.00477)	(0.0199)	(0.00525)	(0.0194)
2.u_25_2	0.127			
	(0.114)			
3.u_25_2	0.0985			
	(0.107)			
4.u_25_2	0.241**			
	(0.118)			
5.u_25_2	-0.00909			
	(0.138)			
6.u_25_2	0.127			
	(0.126)			
7.u_25_2	-0.0531			
	(0.103)			
8.u_25_2	0.199**			
	(0.0856)			
9.u_25_2	0.162			
	(0.116)			
10.u_25_2	0.499***			
	(0.131)			
ln_public_kvu		2.411***		1.388**
		(0.880)		(0.617)
Constant	-2.476***	3.957	-2.380***	1.200
	(0.520)	(3.310)	(0.401)	(2.517)
				
Observations	554	554	554	554
R-squared		0.137		0.150
F-test		7.292		293.1
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
