	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	ln_public_kvu	arc_wtp	ln_public_kvu	arc_wtp	ln_public_kvu	arc_wtp	ln_public_kvu	arc_wtp	ln_public_kvu	arc_wtp
										
_Iu_25_2_2	0.274		0.275		0.278		0.0973		0.0973	
	(0.206)		(0.206)		(0.204)		(0.101)		(0.101)	
_Iu_25_2_3	0.629***		0.630***		0.611***		0.110		0.110	
	(0.204)		(0.204)		(0.198)		(0.0849)		(0.0849)	
_Iu_25_2_4	0.624**		0.624**		0.608**		0.104		0.104	
	(0.246)		(0.245)		(0.239)		(0.0991)		(0.0991)	
_Iu_25_2_5	0.632***		0.632***		0.631***		-0.0497		-0.0497	
	(0.237)		(0.238)		(0.230)		(0.114)		(0.114)	
_Iu_25_2_6	2.537***		2.538***		2.466***		0.0341		0.0341	
	(0.659)		(0.660)		(0.639)		(0.131)		(0.131)	
_Iu_25_2_7	0.872***		0.875***		0.852***		-0.0522		-0.0522	
	(0.258)		(0.259)		(0.252)		(0.114)		(0.114)	
_Iu_25_2_8	0.750***		0.749***		0.732***		0.168		0.168	
	(0.218)		(0.218)		(0.216)		(0.103)		(0.103)	
_Iu_25_2_9	1.347***		1.347***		1.314***		0.0923		0.0923	
	(0.374)		(0.374)		(0.375)		(0.100)		(0.100)	
_Iu_25_2_10	2.736***		2.735***		2.667***		0.369***		0.369***	
	(0.177)		(0.177)		(0.176)		(0.128)		(0.128)	
o.own_visits			-	-	-	-	-	-	-	-
										
ln_inc			0.00355	0.0196	0.00794	-0.0392	0.00536	-0.0316	0.00536	-0.0314
			(0.00660)	(0.0525)	(0.00648)	(0.0392)	(0.00370)	(0.0361)	(0.00370)	(0.0362)
o.spend			-	-	-	-	-	-	-	-
										
educ					0.0197**	0.220***	-0.000521	0.207***	-0.000521	0.207***
					(0.00811)	(0.0376)	(0.00271)	(0.0387)	(0.00271)	(0.0387)
g					-0.120*	-0.215	-0.0262	-0.212	-0.0262	-0.213
					(0.0655)	(0.264)	(0.0170)	(0.266)	(0.0170)	(0.266)
alder					-0.00106	0.0159**	0.000841	0.0154**	0.000841	0.0155**
					(0.00226)	(0.00723)	(0.000539)	(0.00708)	(0.000539)	(0.00708)
woman_2					-0.0248	0.451**	-0.0261*	0.397**	-0.0261*	0.397**
					(0.0479)	(0.199)	(0.0153)	(0.202)	(0.0153)	(0.202)
hjemmebo					-0.108	0.0991	0.0346	0.0925	0.0346	0.0936
					(0.0707)	(0.242)	(0.0212)	(0.255)	(0.0212)	(0.255)
indvandre					0.120	-0.151	-0.0127	-0.301	-0.0127	-0.301
					(0.108)	(0.329)	(0.0281)	(0.303)	(0.0281)	(0.303)
ln_pop							1.110***	1.216	1.110***	1.254
							(0.0488)	(1.039)	(0.0488)	(1.069)
d_teater							-0.0717	0.271	-0.0717	0.268
							(0.0812)	(0.334)	(0.0812)	(0.336)
d_study							0.0356	0.421	0.0356	0.421
							(0.0727)	(0.300)	(0.0727)	(0.300)
_Ireg_20190_82							-0.0635	0.666**	-0.0635	0.665**
							(0.0861)	(0.282)	(0.0861)	(0.283)
_Ireg_20190_83							0.0982	0.726**	0.0982	0.728**
							(0.0894)	(0.297)	(0.0894)	(0.299)
_Ireg_20190_84							0.318***	1.704***	0.318***	1.713***
							(0.0855)	(0.360)	(0.0855)	(0.365)
_Ireg_20190_85							0.131*	1.004***	0.131*	1.008***
							(0.0767)	(0.333)	(0.0767)	(0.335)
ln_sub							-0.00429	-0.00550	-0.00429	-0.00563
							(0.00494)	(0.0166)	(0.00494)	(0.0166)
ln_public_kvu		0.258*		0.258*		0.170		-1.191		-1.224
		(0.132)		(0.133)		(0.154)		(0.902)		(0.929)
Constant	8.572***	0.677	8.528***	0.437	8.406***	-1.688	-3.144***	-3.594	-3.144***	-3.709
	(0.177)	(1.264)	(0.196)	(1.501)	(0.216)	(1.753)	(0.499)	(3.594)	(0.499)	(3.670)
										
Observations	675	675	675	675	675	675	668	668	668	668
R-squared		0.003		0.004		0.053		0.061		0.061
F-test		210.7		209.8		154.9		4.650		4.650
Robust standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
