	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	ln_public_kvu	arc_wtp	ln_public_kvu	arc_wtp	ln_public_kvu	arc_wtp	ln_public_kvu	arc_wtp	ln_public_kvu	arc_wtp
										
_Iu_25_2_2	0.275		0.277*		0.276*		0.127		0.127	
	(0.173)		(0.168)		(0.161)		(0.114)		(0.114)	
_Iu_25_2_3	0.553***		0.563***		0.577***		0.0985		0.0985	
	(0.167)		(0.170)		(0.159)		(0.107)		(0.107)	
_Iu_25_2_4	0.864***		0.837***		0.803***		0.241**		0.241**	
	(0.326)		(0.310)		(0.293)		(0.118)		(0.118)	
_Iu_25_2_5	0.545***		0.540***		0.587***		-0.00909		-0.00909	
	(0.175)		(0.173)		(0.164)		(0.138)		(0.138)	
_Iu_25_2_6	2.739***		2.704***		2.617***		0.127		0.127	
	(0.479)		(0.480)		(0.477)		(0.126)		(0.126)	
_Iu_25_2_7	0.909***		0.893***		0.879***		-0.0531		-0.0531	
	(0.216)		(0.213)		(0.234)		(0.103)		(0.103)	
_Iu_25_2_8	0.565***		0.560***		0.564***		0.199**		0.199**	
	(0.172)		(0.169)		(0.158)		(0.0856)		(0.0856)	
_Iu_25_2_9	1.227***		1.197***		1.173***		0.162		0.162	
	(0.334)		(0.335)		(0.332)		(0.116)		(0.116)	
_Iu_25_2_10	2.597***		2.564***		2.480***		0.499***		0.499***	
	(0.106)		(0.108)		(0.111)		(0.131)		(0.131)	
own_visits			0.0238**	0.0902***	0.0242**	0.122***	0.00126	0.129***	0.00126	0.129***
			(0.00958)	(0.0286)	(0.00979)	(0.0321)	(0.00253)	(0.0308)	(0.00253)	(0.0311)
ln_inc			-0.000848	0.101	-0.0116	-0.0199	-0.00268	-0.0108	-0.00268	-0.00774
			(0.0121)	(0.0872)	(0.0102)	(0.0434)	(0.00352)	(0.0503)	(0.00352)	(0.0511)
spend			-2.93e-05**	0.000146**	-2.59e-05*	4.25e-05	-3.82e-06	1.53e-05	-3.82e-06	1.65e-05
			(1.36e-05)	(7.40e-05)	(1.54e-05)	(8.11e-05)	(5.60e-06)	(8.12e-05)	(5.60e-06)	(8.13e-05)
educ					0.0390***	0.158***	-0.000607	0.164***	-0.000607	0.163***
					(0.0134)	(0.0400)	(0.00302)	(0.0409)	(0.00302)	(0.0411)
g					-0.0735	0.120	-0.0159	0.117	-0.0159	0.124
					(0.0475)	(0.226)	(0.0163)	(0.222)	(0.0163)	(0.222)
alder					-0.00358	0.0264***	0.000591	0.0209**	0.000591	0.0207**
					(0.00248)	(0.00861)	(0.000528)	(0.00817)	(0.000528)	(0.00825)
woman_2					-0.0339	0.248	-0.00839	0.262	-0.00839	0.265
					(0.0620)	(0.214)	(0.0153)	(0.212)	(0.0153)	(0.213)
hjemmebo					-0.149**	-0.196	0.0145	-0.298	0.0145	-0.305
					(0.0726)	(0.246)	(0.0191)	(0.261)	(0.0191)	(0.264)
indvandre					-0.143	-0.801	-0.0393	-0.880	-0.0393	-0.872
					(0.136)	(0.525)	(0.0389)	(0.542)	(0.0389)	(0.543)
ln_pop							1.051***	-2.383**	1.051***	-2.760**
							(0.0499)	(0.989)	(0.0499)	(1.190)
d_teater							-0.0511	0.839	-0.0511	0.866
							(0.0783)	(0.556)	(0.0783)	(0.565)
d_study							0.0815	-0.135	0.0815	-0.155
							(0.0734)	(0.354)	(0.0734)	(0.367)
_Ireg_20190_82							-0.0794	0.658**	-0.0794	0.637**
							(0.0835)	(0.275)	(0.0835)	(0.283)
_Ireg_20190_83							0.155*	-0.0295	0.155*	-0.0746
							(0.0922)	(0.276)	(0.0922)	(0.291)
_Ireg_20190_84							0.351***	0.299	0.351***	0.176
							(0.0854)	(0.374)	(0.0854)	(0.415)
_Ireg_20190_85							0.164**	0.193	0.164**	0.143
							(0.0830)	(0.475)	(0.0830)	(0.492)
ln_sub							-0.00347	-0.0199	-0.00347	-0.0193
							(0.00477)	(0.0199)	(0.00477)	(0.0204)
ln_public_kvu		0.456***		0.436***		0.483***		2.411***		2.759***
		(0.100)		(0.115)		(0.128)		(0.880)		(1.058)
Constant	8.711***	0.458	8.671***	-1.280	8.592***	-3.868**	-2.476***	3.957	-2.476***	4.894
	(0.106)	(1.043)	(0.199)	(1.677)	(0.228)	(1.513)	(0.520)	(3.310)	(0.520)	(3.803)
										
Observations	556	556	556	556	556	556	554	554	554	554
R-squared		0.019		0.059		0.125		0.137		0.129
F-test		190.1		168.6		117.5		7.292		7.292
Robust standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
