              	sum_stat		
              	mean	sd	count
arc_wtp       	3.14	(2.989)	675
ln_public_kvu 	9.52	(1.054)	675
own_visits    	0.00	(0.000)	675
ln_inc        	12.31	(2.247)	675
spend         	0.00	(0.000)	675
educ          	12.48	(2.712)	675
G             	0.52	(0.500)	675
alder         	52.16	(18.231)	675
woman_2       	0.45	(0.497)	675
hjemmebo      	0.35	(0.476)	675
indvandre     	0.08	(0.274)	675
ln_pop        	11.24	(0.907)	675
d_teater      	0.84	(0.363)	675
d_study       	0.62	(0.486)	675
reg_201903==81	0.12	(0.323)	675
reg_201903==82	0.25	(0.435)	675
reg_201903==83	0.22	(0.416)	675
reg_201903==84	0.24	(0.427)	675
reg_201903==85	0.17	(0.372)	675
ln_sub        	10.89	(7.169)	668
