              	sum_stat		
              	mean	sd	count
arc_wtp       	3.91	(2.976)	1302
ln_public_kvu 	9.70	(1.113)	4451
own_visits    	0.94	(2.405)	4451
ln_inc        	12.14	(2.817)	4282
spend         	299.32	(918.204)	4451
educ          	12.56	(2.826)	4297
G             	0.44	(0.497)	4451
alder         	49.45	(19.236)	4450
woman_2       	0.51	(0.500)	4451
hjemmebo      	0.36	(0.481)	4451
indvandre     	0.15	(0.354)	4451
ln_pop        	11.38	(0.964)	4451
d_teater      	0.87	(0.337)	4451
d_study       	0.64	(0.479)	4451
reg_201903==81	0.11	(0.310)	4269
reg_201903==82	0.23	(0.418)	4269
reg_201903==83	0.21	(0.409)	4269
reg_201903==84	0.31	(0.461)	4269
reg_201903==85	0.15	(0.356)	4269
ln_sub        	11.52	(6.967)	4421
