              	sum_stat		
              	mean	sd	count
arc_wtp       	4.97	(2.633)	556
ln_public_kvu 	9.89	(1.138)	556
own_visits    	4.80	(3.587)	556
ln_inc        	12.60	(1.664)	556
spend         	1586.19	(1614.951)	556
educ          	13.69	(2.741)	556
G             	0.57	(0.495)	556
alder         	52.45	(17.208)	556
woman_2       	0.58	(0.494)	556
hjemmebo      	0.30	(0.460)	556
indvandre     	0.06	(0.243)	556
ln_pop        	11.52	(1.006)	556
d_teater      	0.90	(0.296)	556
d_study       	0.66	(0.475)	556
reg_201903==81	0.07	(0.256)	556
reg_201903==82	0.21	(0.405)	556
reg_201903==83	0.21	(0.407)	556
reg_201903==84	0.38	(0.485)	556
reg_201903==85	0.14	(0.344)	556
ln_sub        	12.06	(6.843)	554
